Time(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(dps),GyroY(dps),GyroZ(dps)
0,-0.0181,-0.0288,0.9975,-0.0089,-0.764,0.4839
10,-0.0161,0.013,0.9934,-0.7427,0.288,-1.3116
20,0.0153,0.0072,1.0048,-0.2171,-0.3532,-0.2436
30,-0.0036,0.0111,0.9771,-1.9625,-0.3666,1.315
40,-0.0222,0.016,1.0164,1.1644,-0.2745,-0.3044
50,-0.0333,0.0147,0.9943,-1.7733,0.6956,-0.7955
60,-0.0297,-0.0135,1.0007,0.0554,-1.2314,-0.9897
70,-0.0104,0.023,0.9964,-0.4901,0.5951,-1.139
80,0.0105,-0.0138,0.9883,-0.8441,-0.8928,-1.7718
90,-0.024,0.0189,0.9936,1.5726,-0.9119,0.7262
100,-0.0344,0.007,1.0085,4.0572,-1.5345,1.957
110,-0.0465,0.0088,1.0198,-0.7781,-0.2872,-1.0134
120,0.0157,0.015,0.9909,-0.586,1.3562,0.2972
130,-0.0398,-0.0163,1.0044,-1.1437,-1.9441,0.3724
140,-0.0129,-0.004,1.0037,-0.6855,-0.734,0.4341
150,-0.007,0.0116,1.0027,1.3167,-0.5749,-1.2144
160,-0.0288,0.0147,1.018,1.5699,-0.9077,-0.3823
170,-0.0267,-0.042,0.9771,-0.7111,-0.1812,1.3494
180,0.0061,0.021,1.0203,-0.0059,-0.0315,-0.3603
190,-0.0153,0.0065,0.9866,2.5477,0.5369,0.8527
200,-0.0261,0.0287,0.9889,-0.318,0.6473,-2.1965
210,-0.028,-0.0089,1.0215,0.0152,-0.4753,-0.5572
220,-0.0108,-0.0093,1.0007,0.2977,-0.0599,0.0302
230,-0.0304,0.0108,0.9948,-0.0348,0.2809,-0.9651
240,0.0079,-0.003,0.9785,0.9391,-3.5509,0.903
250,0.003,0.0342,1.0029,0.8501,1.4955,-0.806
260,-0.0349,0.0337,0.9979,1.1221,-2.3369,1.3251
270,0.0037,-0.0105,1.0295,0.9774,1.0199,0.1051
280,-0.0146,0.014,0.9982,0.1879,-0.3848,-0.1723
290,-0.0533,0.0005,1.0196,-0.7146,0.1123,-2.3136
300,-0.0347,-0.0097,1.0158,-0.1431,-0.5007,2.8757
310,-0.0097,-0.0243,0.9965,0.3011,-0.6764,-0.752
320,-0.0179,-0.0033,1.0125,-1.2385,0.665,-2.6144
330,0.0011,0.0341,0.9817,1.7607,0.2271,0.5889
340,-0.0035,-0.0135,0.9922,-1.3558,0.0769,-3.5576
350,0.0338,0.0186,0.9916,-0.952,1.2069,2.2594
360,0.0229,0.0063,1.0068,-0.8077,-0.8648,1.8523
370,-0.0168,0.0302,0.972,1.42,-1.1324,-0.9875
380,-0.0155,-0.0095,0.9924,-2.9902,-1.7007,-1.0973
390,-0.0398,-0.0164,1.0208,-1.4483,1.8093,-1.1022
400,-0.0379,-0.0194,0.9952,-2.4854,-0.8764,-1.4672
410,-0.0332,0.0175,1.004,0.0705,-0.8871,1.6267
420,-0.0089,0.0094,0.9911,-0.8967,-0.1551,-0.5468
430,0.0183,0.0044,1.0005,-0.543,1.4401,-1.6693
440,-0.0129,0.0222,0.9983,-0.4938,0.2546,-2.0562
450,-0.0039,0.0204,0.9828,1.919,-0.2213,-0.1784
460,-0.0325,0.0159,0.9896,1.2535,0.8602,2.1448
470,0.0205,0.0214,0.9966,1.7653,0.5601,1.6377
480,-0.0226,0.0178,1.0087,1.9315,0.5747,2.5252
490,-0.0294,-0.0099,1.0039,-0.482,0.5043,1.1075
500,-0.0087,-0.0211,0.9727,-0.71,-0.2352,-0.5301
510,-0.003,-0.0083,1.0235,1.1549,-1.1862,1.2203
520,0.0276,0.0009,0.9926,1.8077,-0.6792,3.0835
530,-0.0129,-0.0038,0.9629,0.9276,-1.0375,2.1514
540,-0.0198,0.0156,0.9854,-0.6817,0.5061,0.1091
550,-0.0226,0.0354,0.989,2.3712,-0.1626,-2.7385
560,-0.0138,0.0075,0.9802,-0.8129,0.8612,2.4402
570,-0.0068,-0.0092,0.9933,1.8013,-1.3315,1.079
580,0.0049,-0.0145,0.9779,0.4824,-0.8285,-2.3226
590,0.0017,-0.0077,0.9883,-0.8098,0.5523,-1.1236
600,-0.0308,0.0349,1.0075,-0.5814,0.6537,-2.8097
610,-0.019,-0.0035,0.961,0.2362,2.235,-0.5505
620,-0.0069,-0.0032,1.012,0.5778,-0.9098,-0.4012
630,0.0258,0.0172,0.9903,-0.2511,-0.1552,-0.0065
640,-0.0161,0.0186,1.0117,0.3679,1.6108,-1.2021
650,-0.027,0.0135,0.9876,1.1076,-0.6087,1.9482
660,-0.0334,0.0101,1.0019,-0.7325,1.7099,-0.4946
670,-0.0167,0.0125,0.9634,0.2051,2.0359,-0.7994
680,-0.0443,0.0131,0.9964,0.905,0.5401,0.2156
690,0.0072,0.0266,0.9878,1.1386,0.8844,-0.089
700,-0.0136,0.0438,0.9821,0.5549,0.5024,2.2164
710,0.009,-0.0374,0.9928,-0.9567,0.5964,0.8829
720,-0.007,0.0172,0.9835,2.0041,1.1249,-0.6443
730,-0.0282,-0.0084,0.9898,0.2585,0.3407,-0.422
740,-0.0059,0.0076,0.9686,1.441,-1.2949,-1.0532
750,-0.0218,-0.0105,0.9997,1.1574,0.4403,1.5839
760,-0.0394,-0.0043,1.0046,0.6521,-0.2646,-0.3449
770,-0.033,0.0123,0.9762,-0.6747,-0.522,0.4137
780,-0.0301,-0.0187,0.9939,-3.2738,1.0566,1.3227
790,0.0083,0.0096,1.0011,-2.4726,-0.5137,0.0653
800,-0.0015,0.009,1.0027,1.3355,-0.1046,0.8128
810,0.012,-0.0089,0.9957,-3.4851,0.7235,-2.8622
820,-0.0227,0.01,0.9588,-0.1755,0.8273,-0.3042
830,-0.0087,0.0198,1.0063,0.1713,2.5794,1.5466
840,-0.0173,0.0056,0.9749,1.149,0.5104,-0.5155
850,-0.0386,-0.0408,0.9853,0.399,0.672,-0.2389
860,-0.0203,-0.0278,0.9858,-0.958,0.2972,0.5299
870,0.0101,0.0085,0.9739,0.7696,-1.2286,1.2738
880,-0.0044,-0.0178,0.9977,1.3513,-0.3757,-0.2467
