Time(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(dps),GyroY(dps),GyroZ(dps)
0,0.0108,0.0016,1.0011,-1.1876,0.8093,-1.3547
10,-0.0305,-0.0121,0.9704,-1.3833,-0.5978,0.5662
20,-0.0428,0.0046,0.9767,-1.1131,-0.4334,-0.0318
30,0.0236,0.0317,0.9816,-0.4294,-0.5558,-1.341
40,-0.0235,-0.0251,0.9938,0.9948,-0.4182,0.4998
50,-0.0177,-0.0119,1.0091,-2.4021,-0.5538,-2.2296
60,-0.0242,-0.0076,1.0068,0.0839,-1.1324,0.1332
70,-0.0358,-0.0109,0.986,0.5082,-0.707,-1.141
80,-0.0188,-0.007,1.0151,-1.2711,0.962,1.1121
90,-0.0438,-0.0015,1.0084,2.3735,0.8213,-1.0048
100,-0.0271,0.0318,1.0126,0.1147,2.5692,0.4908
110,-0.0335,-0.0343,0.994,-0.925,-1.3921,0.7825
120,-0.0425,-0.0385,0.9845,0.0116,-1.2773,-0.0614
130,-0.0196,0.0128,1.0025,0.1236,0.6454,-0.3978
140,-0.0147,0.0312,0.9691,-0.8055,0.3499,0.1789
150,-0.0364,-0.0144,0.977,-0.8633,1.8444,2.4009
160,0.0094,-0.0177,1.0107,0.2301,0.167,-0.5723
170,0.0117,-0.0168,0.9911,0.498,-0.7501,0.5206
180,-0.0333,-0.0179,0.9904,-0.1236,-1.08,-1.498
190,-0.0121,-0.0055,0.9859,-1.4089,0.7632,-1.3893
200,-0.0007,0.0049,1.0017,0.0103,0.9841,-1.7719
210,0.028,-0.0079,0.9832,-0.1222,-1.7236,-0.5805
220,-0.028,0.0525,0.9814,0.2029,-0.4453,0.8832
230,-0.02,0.0071,0.9869,-1.6299,-0.9962,-0.4985
240,-0.0076,-0.0327,1.0059,0.5788,0.5387,-0.948
250,-0.0288,0.0039,1.0019,-0.9407,-0.1781,2.8065
260,0.0141,-0.0096,1.0157,1.4097,-1.8549,-0.7517
