Time(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(dps),GyroY(dps),GyroZ(dps)
0,-0.0344,-0.0764,0.9409,-26.7023,64.4885,-23.6794
10,-0.0366,-0.1431,1.0754,-6.7634,54.5649,-27.5114
20,-0.0432,-0.0681,1.1733,4.7176,32.3206,-29.4351
30,-0.0415,-0.0034,1.2046,16.8244,8.8244,-26.1679
40,-0.0317,0.0454,1.2705,22.9924,-8.3969,-27.2061
50,0.021,-0.0447,1.4941,34.5802,-20.9618,-32.0153
60,-0.103,-0.0779,2.0088,81.9237,5.0229,-29.6489
70,-0.1724,0.5129,3.5845,197.1908,-102.1527,-24.8855
80,-0.199,1.3591,3.9999,221.5267,-337.4351,61.9084
90,-0.4812,1.9907,3.9999,134.3206,-500.2748,190.5802
100,-1.5696,0.7681,3.9999,23.0534,-500.2748,274.2901
110,-2.9871,-0.9004,3.9999,110.7634,-500.2748,218.1679
120,-3.884,-0.6917,3.9999,129.374,-500.2748,194.4886
130,-4.0,-0.7878,3.9999,-6.1374,-500.2748,140.9924
140,-4.0,0.1082,1.0217,-306.6565,-500.2748,104.5191
150,-3.9641,1.1973,-4.0,-497.5267,-500.2748,156.7481
160,-1.7305,0.7595,-4.0,-420.0763,-500.2748,188.7634
170,1.4758,-0.4319,-4.0,-26.3511,500.2596,164.6565
180,-1.0327,-1.0305,0.271,112.1832,500.2596,47.4962
190,-1.1404,-0.7554,3.9999,-66.5649,-160.4886,-37.2214
200,-0.3086,0.1768,1.2612,-179.5725,-500.2748,-45.3282
210,0.9595,-0.0291,-0.5422,1.2672,18.916,12.2901
220,0.9062,-0.0872,-0.3035,5.6183,25.542,7.0382
230,0.8875,-0.1279,-0.0591,8.1374,2.1374,-0.3206
240,0.9277,-0.052,-0.147,2.5802,-26.7939,-6.1069
250,0.9651,-0.0486,-0.3833,7.4046,-18.7328,-8.3053
260,0.9846,0.0037,-0.3357,15.0687,-8.0,-10.9771
270,0.9822,0.0566,-0.2634,9.0382,-13.084,-5.7557
280,0.9373,0.0266,-0.3333,4.1985,-17.6947,-2.687
290,0.9089,-0.0625,-0.4634,6.4122,-2.3969,-4.1069
300,0.9158,-0.0525,-0.3804,10.6565,12.9618,-5.5878
310,0.9106,0.0007,-0.2346,2.1221,2.7176,-2.9313
320,0.9468,0.0273,-0.3586,-4.0305,-2.0153,0.5344
330,1.0508,0.0986,-0.4072,9.2214,14.7634,6.3206
340,0.9924,0.0854,-0.2368,8.4885,5.6336,12.1374
350,0.9622,-0.0273,-0.218,8.5038,-10.3511,10.8092
360,0.9402,-0.0508,-0.3008,8.2595,-13.0229,8.7481
370,0.9368,-0.0637,-0.3643,8.5649,-8.626,5.9389
380,0.9651,-0.0459,-0.3779,10.3969,4.0916,6.3206
390,0.9058,-0.0662,-0.3179,2.6718,6.3969,5.5878
