Time(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(dps),GyroY(dps),GyroZ(dps)
0,0.1006,-0.0696,0.9683,4.916,0.7328,-8.4885
10,0.1155,-0.0437,0.9338,5.2672,3.2061,-7.0534
20,0.137,-0.0454,0.929,3.145,7.9084,-4.9618
30,0.1079,-0.0864,0.9482,1.4656,12.8244,-7.0992
40,0.1042,-0.043,0.9912,0.2901,11.6489,-5.4504
50,0.0781,-0.1453,1.0034,-2.229,8.3969,-6.0458
60,0.0469,-0.3176,1.0076,2.8244,9.9847,-15.5115
70,0.0115,-0.4565,1.0554,2.1221,12.5496,-32.8244
80,-0.0605,-0.6169,1.1074,1.8321,7.5573,-58.1221
90,-0.0662,-0.6692,1.0874,1.8931,6.0611,-91.9389
100,-0.0334,-0.7546,1.0479,-4.8397,11.8626,-127.7863
110,-0.1704,-0.9673,1.032,-16.9466,16.3359,-159.5267
120,-0.4094,-1.6313,0.9929,-13.5573,26.7176,-239.1908
130,-0.585,-1.9915,1.0332,-17.6641,40.4733,-352.8092
140,-0.6865,-1.8169,1.0881,-6.7939,54.9771,-446.7328
150,-0.9468,-1.4006,1.3276,-5.9542,45.4504,-500.2748
160,-1.2581,-1.0762,1.457,-19.7863,3.6947,-500.2748
170,-1.551,-0.877,1.2515,-52.0458,-9.6336,-500.2748
180,-1.7043,-0.6184,1.2393,-23.3893,0.1527,-500.2748
190,-1.7019,-0.0098,1.5034,10.9618,-23.0992,-500.2748
200,-1.5222,0.5442,1.5564,8.6565,-90.4427,-500.2748
210,-1.2151,0.3608,1.0129,-19.145,-132.3817,-500.2748
220,0.0439,0.1064,0.8535,-3.084,4.6107,-0.4733
230,0.0293,0.1611,0.98,3.5115,19.3893,-5.2824
240,0.0237,0.2876,1.1602,-6.8244,10.4885,-0.5802
250,0.0532,0.3235,1.1609,-8.2901,-4.0305,4.7634
260,0.0667,0.3979,1.1335,-10.626,-5.8168,17.2519
270,0.054,0.3972,1.2034,-12.2748,-15.6641,29.0687
280,0.022,0.3184,1.1738,-31.542,-38.3969,40.0611
290,0.0061,0.1003,0.8938,-34.2748,-49.5725,39.1603
300,0.0483,0.0044,0.6401,-14.5344,-25.8626,35.7557
310,0.0276,-0.0776,0.6658,0.2595,2.1374,31.2214
320,0.0103,0.009,0.7996,5.6794,12.1679,22.626
330,-0.0054,0.0444,0.9299,9.0534,18.7328,20.9008
340,0.0027,0.2031,1.0457,8.5496,12.7481,20.4427
350,0.0288,0.345,1.0881,3.1756,8.1221,28.2901
360,0.0432,0.47,1.1226,0.9771,2.9313,41.7863
370,0.0347,0.5571,1.1592,-8.916,-3.8626,61.3282
380,0.0579,0.6174,1.2083,-10.0,-16.2595,78.6565
390,0.0857,0.6941,1.2166,-24.0153,-28.3817,108.3511
400,0.0374,0.6375,1.1318,-36.9313,-50.5191,137.9695
410,0.0244,0.3401,0.907,-39.1603,-65.5267,152.5802
420,0.0059,0.1736,0.6118,-35.2824,-50.4733,157.3893
430,0.0564,0.0378,0.457,-13.1756,-12.2595,154.2443
440,0.0959,0.1086,0.5732,19.0534,26.5344,152.5496
450,0.0657,0.2703,0.8503,20.5802,49.9237,164.5954
460,0.0315,0.2756,1.1658,24.1679,36.0763,177.3282
470,0.0542,0.5017,1.2258,2.7176,15.0382,184.5191
480,0.0203,0.4998,1.1924,-27.8015,-6.8397,200.5191
490,0.0762,0.6013,1.021,-51.8779,-6.1374,219.2672
500,0.0166,0.4751,0.9465,-55.8931,-1.8321,236.1679
510,-0.1116,0.2793,1.0085,-63.4351,15.5573,237.2824
520,-0.2185,0.1172,1.1965,-80.9924,-8.8397,216.9924
530,-0.4609,-0.2266,1.0334,-95.2366,-22.0458,175.4504
540,-0.2478,-0.2654,0.8438,-45.145,-18.6412,153.8626
550,-0.0232,-0.0044,0.8325,2.687,12.7634,131.0534
560,-0.0371,0.3347,1.092,-13.9389,21.8626,166.2443
570,-0.1499,0.1177,1.3242,-74.855,-1.6641,172.8397
580,-0.0266,-0.1421,1.1887,9.374,-37.6031,155.7405
590,0.0435,0.4758,1.1899,-60.1374,-47.4198,181.5573
600,-0.1367,0.2917,1.0588,-86.6718,-64.2137,215.1908
610,-0.1868,-0.3721,0.8464,-81.8168,-48.9924,192.1527
620,-0.0884,-0.2227,0.8884,-37.4962,-32.0,168.3206
630,-0.0215,-0.0312,1.051,-42.7023,-39.7405,173.542
640,-0.0635,-0.1108,1.1201,-35.7252,-68.1527,190.0916
650,-0.0242,-0.2158,0.9509,-86.458,-94.9618,165.5878
