Time(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(dps),GyroY(dps),GyroZ(dps)
0,0.0156,-0.1423,0.9783,1.9389,4.2137,2.916
10,0.012,-0.1816,1.0027,1.2824,5.6031,1.9389
20,0.0017,-0.2119,1.0291,0.229,2.3817,-1.5115
30,0.0002,-0.2065,1.0154,2.5191,0.9466,-6.229
40,-0.0049,-0.1367,1.0193,2.1527,-0.7786,-5.6031
50,-0.0046,-0.1343,0.9836,1.5115,-1.6489,-3.3435
60,0.0054,-0.1433,0.9836,5.3588,1.6489,-1.771
70,-0.0051,-0.1055,0.9961,8.6565,-0.7786,-0.0611
80,0.0139,-0.0518,0.9482,7.8168,3.313,5.374
90,0.0093,-0.0942,0.9626,7.9237,8.9771,7.5267
100,0.001,-0.0894,1.0403,2.0,6.458,9.0229
110,-0.01,-0.1448,1.0476,-2.8702,-0.1069,8.1221
120,-0.0027,-0.2244,1.0,-3.9389,-0.4885,4.7023
130,0.0059,-0.262,0.9875,-0.9618,-0.626,-1.4198
140,0.0054,-0.198,0.9983,-0.3817,-0.5496,-4.4427
150,0.0129,-0.1355,1.0017,0.8092,-0.916,-4.2901
160,0.0112,-0.0879,1.0103,-7.2366,-0.1679,-1.4351
170,0.002,-0.1301,1.0076,0.3511,-1.8779,-1.3893
180,-0.2244,-0.3286,0.8845,0.8244,17.9084,-8.8702
190,-0.2415,-0.3584,0.959,6.4122,14.7786,-7.9847
200,-0.2551,-0.4431,1.0269,14.7176,13.3893,-12.2748
210,-0.2627,-0.4272,1.0916,10.6412,3.7405,-17.4809
220,-0.2559,-0.3376,1.0454,10.9924,-6.8092,-19.374
230,-0.2224,-0.3284,0.9641,7.4962,-4.1069,-16.9771
240,-0.2175,-0.3574,0.9473,8.4885,-2.7023,-17.7099
250,-0.2031,-0.3181,0.9368,7.8779,-4.7176,-18.4733
260,-0.2056,-0.2854,0.9031,5.2824,-3.2366,-17.145
270,-0.1992,-0.3191,0.9153,3.8321,0.5649,-14.0763
280,-0.1997,-0.4443,0.9509,7.4351,0.1832,-18.3206
290,-0.21,-0.3916,0.981,7.3435,-4.626,-23.5267
300,-0.2107,-0.3674,0.9358,4.0458,-6.2748,-23.2977
310,-0.2068,-0.3499,0.9016,6.2137,-2.3817,-24.0611
320,-0.2148,-0.2991,0.9214,5.2824,-1.6641,-21.9542
330,-0.2107,-0.2859,0.9336,5.0382,-3.2061,-19.6183
