Time(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(dps),GyroY(dps),GyroZ(dps)
0,-0.1418,3.124,1.0088,-68.0458,17.9084,201.8321
10,-0.5371,3.572,0.9246,-77.0992,6.4275,368.4733
20,-1.0776,3.9999,0.574,-53.5725,51.8321,500.2596
30,-2.2151,3.9999,0.8518,-21.374,115.5115,500.2596
40,-3.6067,3.7468,1.6736,-49.6489,69.313,500.2596
50,-4.0,2.324,1.4585,-60.3817,-25.4504,500.2596
60,-4.0,0.9268,0.8877,-90.7328,-44.1221,500.2596
70,-4.0,0.074,0.4958,-212.626,-54.1679,500.2596
80,-3.7507,-1.1912,0.1814,-306.5191,-80.458,500.2596
90,-2.9434,-2.7131,-0.4219,-302.9771,-51.2824,500.2596
100,-2.1045,-4.0,0.0242,-294.7328,39.4962,500.2596
110,-1.6819,-4.0,0.9158,-263.6794,-56.9313,494.0153
120,-0.9961,-4.0,0.011,-148.1374,-131.3893,280.7328
130,-0.3308,-4.0,-0.873,-10.5191,-4.5649,146.9924
140,-0.5388,-2.8047,-0.1624,9.7405,65.2061,58.0153
150,-0.4915,-1.4902,0.3718,-7.9389,37.0076,-9.9695
160,-0.3481,-0.1223,0.4507,0.3053,64.7634,-17.0076
170,-0.2588,-0.4504,0.988,22.1374,88.916,-0.9771
180,-0.3318,0.0674,1.5464,10.7481,36.1069,1.9389
190,-0.1707,-0.2607,0.9431,2.7481,25.2214,1.4962
200,-0.2568,-0.3765,1.207,7.145,3.7099,-3.2366
210,-0.2549,-0.4436,1.1199,1.145,-23.9237,-11.8321
220,-0.1909,-0.4377,0.8159,3.9237,-12.4275,-17.4504
230,-0.1919,-0.4294,0.7834,8.3664,7.542,-19.6031
240,-0.1633,-0.3191,0.9307,4.8397,13.9389,-19.8626
250,-0.2073,-0.3335,1.0225,10.3053,10.4427,-25.1298
260,-0.1995,-0.2195,1.0613,7.0687,4.9008,-22.8702
270,-0.1875,-0.2395,1.0479,8.8397,-0.7176,-22.0153
280,-0.1819,-0.3179,1.0164,6.4427,-4.3969,-23.1145
290,-0.1765,-0.4595,0.9519,11.5267,-5.2672,-28.8244
300,-0.1794,-0.6003,0.9128,13.5573,-4.2443,-39.9695
310,-0.2021,-0.6113,0.9133,17.3435,-9.2214,-54.1374
320,-0.1912,-0.5308,0.8325,22.0763,-5.1603,-62.7481
330,-0.187,-0.3611,0.8574,22.5802,-1.8779,-65.8626
340,-0.1743,-0.2927,0.8738,23.8931,0.7481,-66.4733
350,-0.1655,-0.2273,0.9387,22.8244,4.9618,-64.0458
360,-0.1511,-0.3308,0.9937,27.1145,4.916,-66.9313
